Country/Region,Population,Continent
Afghanistan,37172390,Asia
Albania,2866380,Europe
Algeria,42228430,Africa
American Samoa,55470,Other
Andorra,77010,Europe
Angola,30809760,Africa
Antigua and Barbuda,96290,North America
Argentina,44494500,South America
Armenia,2951780,Europe
Aruba,105840,Other
Australia,24992370,Oceania
Austria,8847040,Europe
Azerbaijan,9942330,Europe
"Bahamas, The",385640,Other
Bahrain,1569440,Asia
Bangladesh,161356040,Asia
Barbados,286640,North America
Belarus,9485390,Europe
Belgium,11422070,Europe
Belize,383070,North America
Benin,11485050,Africa
Bermuda,63970,Other
Bhutan,754390,Asia
Bolivia,11353140,South America
Bosnia and Herzegovina,3323930,Europe
Botswana,2254130,Africa
Brazil,209469330,South America
British Virgin Islands,29800,Other
Brunei Darussalam,428960,Other
Bulgaria,7024220,Europe
Burkina Faso,19751530,Other
Burundi,11175380,Africa
Cabo Verde,543770,Other
Cambodia,16249800,Asia
Cameroon,25216240,Africa
Canada,37058860,North America
Cayman Islands,64170,Other
Central African Republic,4666380,Africa
Chad,15477750,Africa
Channel Islands,170500,Other
Chile,18729160,South America
China,1392730000,Asia
Colombia,49648680,South America
Comoros,832320,Africa
"Congo, Dem. Rep.",84068090,Other
"Congo, Rep.",5244360,Other
Costa Rica,4999440,North America
Cote d'Ivoire,25069230,Other
Croatia,4089400,Europe
Cuba,11338140,North America
Curacao,159850,Other
Cyprus,1189270,Europe
Czechia,10625690,Europe
Denmark,5797450,Europe
Djibouti,958920,Africa
Dominica,71630,North America
Dominican Republic,10627170,North America
Ecuador,17084360,South America
"Egypt, Arab Rep.",98423600,Other
El Salvador,6420740,North America
Equatorial Guinea,1308970,Africa
Eritrea,3213970,Africa
Estonia,1320880,Europe
Eswatini,1136190,Other
Ethiopia,109224560,Africa
Faroe Islands,48500,Other
Fiji,883480,Oceania
Finland,5518050,Europe
France,66987240,Europe
French Polynesia,277680,Other
Gabon,2119280,Africa
"Gambia, The",2280100,Other
Georgia,3731000,Europe
Germany,82927920,Europe
Ghana,29767110,Africa
Gibraltar,33720,Other
Greece,10727670,Europe
Greenland,56020,Other
Grenada,111450,North America
Guam,165770,Other
Guatemala,17247810,North America
Guinea,12414320,Africa
Guinea-Bissau,1874310,Africa
Guyana,779000,South America
Haiti,11123180,North America
Honduras,9587520,North America
"Hong Kong SAR, China",7451000,Other
Hungary,9768780,Europe
Iceland,353570,Europe
India,1352617330,Asia
Indonesia,267663430,Asia
Iran,81800270,Asia
Iraq,38433600,Asia
Ireland,4853510,Europe
Isle of Man,84080,Other
Israel,8883800,Asia
Italy,60431280,Europe
Jamaica,2934860,North America
Japan,126529100,Asia
Jordan,9956010,Asia
Kazakhstan,18276500,Asia
Kenya,51393010,Africa
Kiribati,115850,Oceania
"Korea, Dem. People?s Rep.",25549820,Other
"Korea, South",51635260,Asia
Kosovo,1845300,Other
Kuwait,4137310,Asia
Kyrgyz Republic,6315800,Other
Lao PDR,7061510,Other
Latvia,1926540,Europe
Lebanon,6848930,Asia
Lesotho,2108130,Africa
Liberia,4818980,Africa
Libya,6678570,Africa
Liechtenstein,37910,Europe
Lithuania,2789530,Europe
Luxembourg,607730,Europe
"Macao SAR, China",631640,Other
Madagascar,26262370,Africa
Malawi,18143310,Africa
Malaysia,31528580,Asia
Maldives,515700,Asia
Mali,19077690,Africa
Malta,483530,Europe
Marshall Islands,58410,Oceania
Mauritania,4403320,Africa
Mauritius,1265300,Africa
Mexico,126190790,North America
"Micronesia, Fed. Sts.",112640,Other
Moldova,3545880,Europe
Monaco,38680,Europe
Mongolia,3170210,Asia
Montenegro,622350,Europe
Morocco,36029140,Africa
Mozambique,29495960,Africa
Myanmar,53708390,Other
Namibia,2448260,Africa
Nauru,12700,Oceania
Nepal,28087870,Asia
Netherlands,17231020,Europe
New Caledonia,284060,Other
New Zealand,4885500,Oceania
Nicaragua,6465510,North America
Niger,22442950,Africa
Nigeria,195874740,Africa
North Macedonia,2082960,Other
Northern Mariana Islands,56880,Other
Norway,5314340,Europe
Oman,4829480,Asia
Pakistan,212215030,Asia
Palau,17910,Oceania
Panama,4176870,North America
Papua New Guinea,8606320,Oceania
Paraguay,6956070,South America
Peru,31989260,South America
Philippines,106651920,Asia
Poland,37978550,Europe
Portugal,10281760,Europe
Puerto Rico,3195150,Other
Qatar,2781680,Asia
Romania,19473940,Europe
Russian Federation,144478050,Asia
Rwanda,12301940,Africa
Samoa,196130,Oceania
San Marino,33780,Europe
Sao Tome and Principe,211030,Africa
Saudi Arabia,33699950,Asia
Senegal,15854360,Africa
Serbia,6982080,Europe
Seychelles,96760,Africa
Sierra Leone,7650150,Africa
Singapore,5638680,Asia
Sint Maarten (Dutch part),40650,Other
Slovak Republic,5447010,Other
Slovenia,2067370,Europe
Solomon Islands,652860,Oceania
Somalia,15008150,Africa
South Africa,57779620,Africa
South Sudan,10975920,Africa
Spain,46723750,Europe
Sri Lanka,21670000,Asia
St. Kitts and Nevis,52440,Other
St. Lucia,181890,Other
St. Martin (French part),37260,Other
St. Vincent and the Grenadines,110210,Other
Sudan,41801530,Africa
Suriname,575990,South America
Sweden,10183170,Europe
Switzerland,8516540,Europe
Syrian Arab Republic,16906280,Other
Tajikistan,9100840,Asia
Tanzania,56318350,Africa
Thailand,69428520,Asia
Timor-Leste,1267970,Other
Togo,7889090,Africa
Tonga,103200,Oceania
Trinidad and Tobago,1389860,North America
Tunisia,11565200,Africa
Turkey,82319720,Asia
Turkmenistan,5850910,Asia
Turks and Caicos Islands,37660,Other
Tuvalu,11510,Oceania
Uganda,42723140,Africa
Ukraine,44622520,Europe
United Arab Emirates,9630960,Asia
United Kingdom,66488990,Europe
US,327167430,North America
Uruguay,3449300,South America
Uzbekistan,32955400,Asia
Vanuatu,292680,Oceania
"Venezuela, RB",28870190,Other
Vietnam,95540400,Asia
Virgin Islands (U.S.),106980,Other
West Bank and Gaza,4569090,Other
"Yemen, Rep.",28498690,Other
Zambia,17351820,Africa
Zimbabwe,14439020,Africa
